model,scenario,image_path,compute_time_sec
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Diospyros confertiflora Hiern\IMG_20241125_085526.jpg,0.0
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Excoecaria cochinchinensis Lour\IMG_20241125_103957.jpg,0.0
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Dillenia sp\IMG_20241113_110909.jpg,0.0
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Mussaenda philippica\IMG_20241109_141041.jpg,0.01613140106201172
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Koompassia excelsa (Becc.) Taub\IMG_20241123_093750.jpg,0.0
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Ruellia simplex C.Wright\IMG_20241113_105055.jpg,0.015819072723388672
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Alocasia macrorrhizos\IMG_20241106_104836.jpg,0.01593494415283203
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Ctenanthe burle-marxii H.Kenn\IMG_20241109_144526.jpg,0.015640735626220703
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Costus woodsonii Maas\IMG_20241125_104501.jpg,0.023923158645629883
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Tabernaemontana divaricata (L.) R.Br. ex Roem. & Schult\IMG_20241125_115053.jpg,0.014022588729858398
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Acalypha wilkesiana Müll.Arg\IMG_20241123_091926.jpg,0.013275384902954102
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Koompassia excelsa (Becc.) Taub\IMG_20241113_103016.jpg,0.01202392578125
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Koompassia excelsa (Becc.) Taub\IMG_20241123_093729.jpg,0.011762142181396484
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Licuala spinosa\IMG_20241125_091706.jpg,0.013793230056762695
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Diospyros confertiflora Hiern\IMG_20241125_085638.jpg,0.014054298400878906
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Codiaeum variegatum (L.) Rumph. ex A.Juss\IMG_20241019_122352.jpg,0.013493776321411133
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Vatica umbonata Burck\IMG_20241125_090855.jpg,0.012019872665405273
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Grammatophyllum speciosum\IMG_20241125_103346.jpg,0.0
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Borassodendron borneensis J. Dransf\IMG_20241019_114627.jpg,0.015656709671020508
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Cordyline fruticosa (L.) A. Chev\IMG_20241115_085601.jpg,0.015720129013061523
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Borassodendron borneensis J. Dransf\IMG_20241125_112033.jpg,0.01177215576171875
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Terminalia mantaly H.Perrier\IMG_20241123_084253.jpg,0.02510857582092285
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Strombosia ceylanica Gardn\IMG_20241106_103347.jpg,0.013765335083007812
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Vatica umbonata Burck\IMG_20241125_090859.jpg,0.013766765594482422
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Alstonia iwahigensis Elmer\IMG_20241125_113316.jpg,0.002005338668823242
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Acalypha wilkesiana Müll.Arg\IMG_20241123_091802.jpg,0.021660804748535156
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Asystasia gangetica (L.) T.Anderson\IMG_20241125_115604.jpg,0.013797998428344727
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Vatica oblongifolia Hook.f\IMG_20241125_111658.jpg,0.0057528018951416016
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Codiaeum variegatum (L.) Rumph. ex A.Juss\IMG_20241109_134826.jpg,0.0156552791595459
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Strombosia ceylanica Gardn\IMG_20241106_103324.jpg,0.023699283599853516
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Cordyline fruticosa (L.) A. Chev\IMG_20241123_084632.jpg,0.0077555179595947266
